t,E0,E1,E2,E3,E4,E5,E6,E7
3.411371237458193928e+00,-1.987270829350567869e+00,-1.987120930394655538e+00,-7.601255733086544897e-01,-7.599756743527380509e-01,-6.590127752100942704e-01,-6.588628762541776096e-01,-5.682823797877326610e-01,-5.681324808318165553e-01
3.444816053511705611e+00,-1.977506023384654199e+00,-1.977347812849758357e+00,-7.578385580448629977e-01,-7.576803475099627150e-01,-6.556766051837271680e-01,-6.555183946488266633e-01,-5.641490706909622066e-01,-5.639908601560622570e-01
3.478260869565217295e+00,-1.967746213919499665e+00,-1.967579282260276452e+00,-7.555532633162774792e-01,-7.553863316570517128e-01,-6.523408447027001511e-01,-6.521739130434767162e-01,-5.600190375597448034e-01,-5.598521059005193701e-01
3.511705685618728978e+00,-1.957991485074195959e+00,-1.957815404302894580e+00,-7.532697073317287106e-01,-7.530936265604226687e-01,-6.490055122094301465e-01,-6.488294314381241046e-01,-5.558923463043412561e-01,-5.557162655330354362e-01
3.545150501672240662e+00,-1.948241922946653659e+00,-1.948056245836480516e+00,-7.509879085472249693e-01,-7.508022314370479400e-01,-6.456706269429504097e-01,-6.454849498327733803e-01,-5.517690645666539773e-01,-5.515833874564772810e-01
3.578595317725752345e+00,-1.938497615673153041e+00,-1.938301874926834145e+00,-7.487078856699584950e-01,-7.485121449236343816e-01,-6.423362089737453262e-01,-6.421404682274215459e-01,-5.476492617757715564e-01,-5.474535210294478871e-01
3.612040133779264028e+00,-1.928758653490062480e+00,-1.928552360871963467e+00,-7.464296576623884460e-01,-7.462233650442871014e-01,-6.390022792401719443e-01,-6.387959866220714877e-01,-5.435330092056008811e-01,-5.433267165874999804e-01
3.645484949832775712e+00,-1.919025128797782864e+00,-1.918807774227966778e+00,-7.441532437463974636e-01,-7.439358891765774917e-01,-6.356688595865390701e-01,-6.354515050167194312e-01,-5.394203800346629718e-01,-5.392030254648434440e-01
3.678929765886287395e+00,-1.909297136227047664e+00,-1.909068186835462644e+00,-7.418786634075276165e-01,-7.416497140159399315e-01,-6.323359728029562810e-01,-6.321070234113671527e-01,-5.353114494081495645e-01,-5.350825000165621015e-01
3.712374581939799079e+00,-1.899574772707645964e+00,-1.899333671846668237e+00,-7.396059363992891766e-01,-7.393648355383091175e-01,-6.290036426669961545e-01,-6.287625418060164284e-01,-5.312062945023372507e-01,-5.309651936413576356e-01
3.745819397993310762e+00,-1.889858137539677907e+00,-1.889604303753043668e+00,-7.373350827475531055e-01,-7.370812489609156470e-01,-6.256718939873029406e-01,-6.254180602006674805e-01,-5.271049945914557666e-01,-5.268511608048185302e-01
3.779264214046822445e+00,-1.880147332467465127e+00,-1.879880158413588465e+00,-7.350661227550262522e-01,-7.347989487011480358e-01,-6.223407526491940844e-01,-6.220735785953133146e-01,-5.230076311171214520e-01,-5.227404570632435687e-01
3.812709030100334129e+00,-1.870442461756213204e+00,-1.870161313083790189e+00,-7.327990770058049330e-01,-7.325179283333792535e-01,-6.190102456623887139e-01,-6.187290969899632564e-01,-5.189142877604424609e-01,-5.186331390880172254e-01
3.846153846153845812e+00,-1.860743632271540715e+00,-1.860447846445189457e+00,-7.305339663700159969e-01,-7.302381805436607420e-01,-6.156804012109678981e-01,-6.153846153846128653e-01,-5.148250505169106317e-01,-5.145292646905555989e-01
3.879598662207357496e+00,-1.851050953562010770e+00,-1.850739838635647283e+00,-7.282708120085445991e-01,-7.279596970821778923e-01,-6.123512487056284037e-01,-6.120401337792611418e-01,-5.107400077742019207e-01,-5.104288928478354359e-01
